%1$d already matched	已匹配 %1$d 项
%1$d areas were checked and everything they need is here.	已检查 %1$d 个区域，所需内容均已就绪.
%1$d fields overridden	已覆盖 %1$d 个字段
%1$d fields will be overridden when requested	请求时将覆盖 %1$d 个字段
%1$d gates selected	已选择 %1$d 个功能项
%1$d minutes left	剩余 %1$d 分钟
%1$d rejected	已拒绝 %1$d 项
%1$d results	%1$d 个结果
%1$d results so far	目前有 %1$d 个结果
%1$d results so far, and more not counted	目前有 %1$d 个结果，另有更多未计数
%1$d results, filtered to %2$s	%1$d 个结果，已筛选为 %2$s
%1$d setting was not in that file and was left as it is	有 %1$d 项设置不在该文件中，已保持原样
%1$d settings were not in that file and were left as they are	有 %1$d 项设置不在该文件中，已保持原样
%1$d unavailable	%1$d 项不可用
%1$s (%2$s)	%1$s（%2$s）
%1$s (TikTok value)	%1$s（TikTok 值）
%1$s (custom, unverified)	%1$s（自定义，未验证）
%1$s (override returned)	%1$s（已返回覆盖值）
%1$s (will be returned when requested)	%1$s（请求时将返回）
%1$s / current cache only	%1$s / 仅当前缓存
%1$s / generated registry	%1$s / 自动生成索引
%1$s / generated registry and current cache	%1$s / 自动生成索引和当前缓存
%1$s / local catalog	%1$s / 本地功能清单
%1$s and above	%1$s 及以上
%1$s appears more than once in this file.	%1$s 在此文件中出现了多次.
%1$s changed	%1$s 已更改
%1$s day	%1$s 天
%1$s days	%1$s 天
%1$s destinations must start with %2$s	%1$s 的目标位置必须以 %2$s 开头
%1$s dp	%1$s dp
%1$s has an invalid value. %2$s	%1$s 的值无效。%2$s
%1$s has type %2$s, but the file says %3$s.	%1$s 的类型是 %2$s，但文件中写的是 %3$s.
%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.	%1$s 已连续 %2$d 次隐藏 TikTok 发来的全部内容。如果这不是你想要的效果，请将其关闭.
%1$s is a kind of value the Lab cannot override.	%1$s 属于实验室无法覆盖的值类型.
%1$s is already hidden	%1$s 已被隐藏
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s 不是国家代码，因此不会有视频匹配。请使用两个字母，例如 GB、IE 或 US.
%1$s is not in this Lab catalog.	%1$s 不在实验室功能清单中.
%1$s isn't installed or doesn't take links	未安装 %1$s，或它不接受链接
%1$s left	剩余 %1$s
%1$s millisecond	%1$s 毫秒
%1$s milliseconds	%1$s 毫秒
%1$s min left	剩余 %1$s 分钟
%1$s minute	%1$s 分钟
%1$s minutes	%1$s 分钟
%1$s point	%1$s 点
%1$s points	%1$s 点
%1$s s	%1$s 秒
%1$s second	%1$s 秒
%1$s seconds	%1$s 秒
%1$s time	%1$s 次
%1$s times	%1$s 次
%1$s to %2$s	%1$s 到 %2$s
%1$s video	%1$s 个视频
%1$s videos	%1$s 个视频
%1$s videos left	剩余 %1$s 个视频
%1$s view per comment	每条评论 %1$s 次播放
%1$s view per like	每个赞 %1$s 次播放
%1$s views per comment	每条评论 %1$s 次播放
%1$s views per like	每个赞 %1$s 次播放
%1$s was rejected. %2$s	%1$s 被拒绝。%2$s
%1$s, %2$s or %3$s	%1$s、%2$s 或 %3$s
%1$s, %2$s, %3$s or %4$s	%1$s、%2$s、%3$s 或 %4$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s、%2$s、%3$s、%4$s、%5$s
%1$s, selected	%1$s，已选择
%1$s. %2$s	%1$s。%2$s
%1$s: %2$d found, %3$d missing	%1$s：找到 %2$d 项，缺少 %3$d 项
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数。首个缺失项：%4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项。首个缺失项：%4$s
%1$s: %2$s	%1$s：%2$s
1 field overridden	已覆盖 1 个字段
Press and hold a profile picture to save the full size original to your photo destination.	长按头像，将完整尺寸原图保存到图片保存位置.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	长按限时动态即可保存。TikTok 原本用长按暂停播放，启用后该手势将改为保存.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	长按屏幕左侧三分之一区域可后退，右侧三分之一区域可快进；中间三分之一区域仍执行“长按”动作.
Preview shortened. Save JSON includes the full report.	预览已缩短。“保存 JSON”会包含完整报告.
Privacy	隐私
Privacy and system	隐私与系统
Profile	个人资料
Profile picture saved to %1$s	头像已保存到 %1$s
Profile share actions	个人资料分享操作
Promotional music	推广音乐
Proof	识别依据\nProof
Protect external pages in TikTok's browser	保护 TikTok 浏览器中的外部页面
Put back the settings saved before the last restore or reset.	恢复上次“恢复”或“重置”之前保存的设置.
Put every setting back to its default straight away. Your current settings are kept for Undo.	立即恢复全部默认设置；当前设置会保留用于撤销.
Putting the settings back to their defaults	正在将设置恢复为默认值
Quality	画质
Quality, files, subtitles and hand-off	画质、文件、字幕与外部下载
Quality, speed and auto-advance	画质、速度与自动连播
Quick setup	快速设置
Reading	正在读取
Recorded gate reads (%1$d)	已记录的功能项读取（%1$d）
Recording gate reads. Use a feature, then return here to stop.	正在记录功能项读取。使用某项功能后返回这里停止.
Recovered an interrupted settings change. Restart TikTok to apply this.	已恢复之前中断的设置更改。重启 TikTok 后生效.
Refresh values	刷新数值
Refreshing current TikTok cache...	正在刷新当前 TikTok 缓存...
Region	地区
Remember the last speed	记住上次播放速度
Remind me every	每隔以下时间提醒我
Remove	移除
Remove %1$s	移除 %1$s
Remove all overrides	移除全部覆盖值
Remove feed ads	移除信息流广告
Remove feed ads, creator commission posts, paid partnerships, and branded content.	移除信息流广告、创作者佣金推广、付费合作和品牌内容.
Remove tracking parameters from shared links.	移除分享链接中的跟踪参数.
Remove watermark	去除水印
Removed %1$s	已移除 %1$s
Replace values when TikTok asks for them	TikTok 请求时替换数值
Report saved to %1$s	报告已保存到 %1$s
Required	必填
Researched	候选值
Researched values	候选值\nResearched values
Reset	重置
Reset %1$d gates of %2$d. Restart TikTok to apply this.	已重置 %2$d 个功能项中的 %1$d 个。重启 TikTok 后生效.
Reset %1$d gates. Restart TikTok to apply this.	已重置 %1$d 个功能项。重启 TikTok 后生效.
Reset 1 gate of %2$d. Restart TikTok to apply this.	已重置 %2$d 个功能项中的 1 个。重启 TikTok 后生效.
Reset 1 gate. Restart TikTok to apply this.	已重置 1 个功能项。重启 TikTok 后生效.
Reset override	重置覆盖值
Reset position	重置位置
Reset settings	重置设置
Restart TikTok to apply %1$d changes	重启 TikTok 以应用 %1$d 项更改
Restart TikTok to apply this	重启 TikTok 后生效
Restart TikTok to apply this change	重启 TikTok 以应用此更改
Restart TikTok to apply this.	重启 TikTok 后生效.
Restart now	立即重启
Restart pending	等待重启
Restore failed. Some settings may still be changed.	恢复失败。部分设置可能已经发生更改.
Restore failed. Some settings may still be changed. Use Undo to put them back.	恢复失败，部分设置可能已改变；请使用“撤销”恢复.
Restore settings	恢复设置
Restore setup	恢复配置
Restoring setup	正在恢复配置
Restoring your settings	正在恢复你的设置
Resume videos after scrolling	滚动返回后继续播放视频
Retry	重试
Return a copy with the fields below changed	返回一份已修改下列字段的副本
Return after using a TikTok feature to see every gate read during the recording.	使用某项 TikTok 功能后返回，即可查看记录期间的全部功能项读取.
Returns %1$s	返回 %1$s
Right column	右侧按钮栏
Rows	项目
SIM country preset	SIM 国家/地区预设
STEM	STEM
Sanitize sharing links	清理分享链接
Save	保存
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.	将 Hushfeed 设置和功能实验室规则保存到 JSON 文件.
Save JSON	保存 JSON
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	随视频保存 SRT 字幕。Android 11+ 存到 Movies，Android 10 存到 Download，更旧版本存到视频文件夹.
Save a profile picture on a long press	长按保存头像
Save a story on a long press	长按保存限时动态
Save every photo in the post as TikTok received it, not as the screen shows it.	按 TikTok 接收到的原始图片保存帖子中的所有照片，不按屏幕显示效果保存.
Save field values	保存字段值
Save full report	保存完整报告
Save media	保存媒体
Save subtitles beside videos	在视频旁保存字幕
Save the latest available TikTok crash report for diagnostic export.	保存最新可用的 TikTok 崩溃报告，以便导出诊断信息.
Save the original sound	保存原始声音
Save the sound as well	同时保存声音
Save videos without sound	保存无声视频
Save, restore, reset and undo your settings	保存、恢复、重置和撤销设置
Saved	已保存
Saved %1$s	已保存 %1$s
Saved %1$s of %2$s photos before the story failed	限时动态保存失败前，已保存 %2$s 张图片中的 %1$s 张
Saved %1$s of %2$s, %3$s skipped	已保存 %2$s 项中的 %1$s 项，跳过 %3$s 项
Saved %1$s of %2$s, %3$s skipped and the rest cancelled	已保存 %2$s 项中的 %1$s 项，跳过 %3$s 项，其余已取消
Saved %1$s of %2$s, the rest cancelled	已保存 %2$s 项中的 %1$s 项，其余已取消
Saved %1$s of %2$s, the rest need more free space	已保存 %2$s 项中的 %1$s 项，其余项目需要更多可用空间
Saved %1$s of %2$s, the rest ran out of time	已保存 %2$s 项中的 %1$s 项，其余项目因超时未完成
Saved %1$s original photos	已保存 %1$s 张原始图片
Saved one original photo	已保存 1 张原始图片
Saved, override off	已保存，覆盖功能关闭
Saved. Restart TikTok to apply this.	已保存。重启 TikTok 后生效.
Saving	正在保存
Saving %1$s of %2$s	正在保存第 %1$s / %2$s 项
Saving %1$s original photos	正在保存 %1$s 张原始图片
Saving one original photo	正在保存 1 张原始图片
Saving settings backup	正在保存设置备份
Saving sticker	正在保存贴纸
Saving the selected video quality	正在保存所选画质的视频
Saving the selected video quality without sound	正在保存所选画质的无声视频
Saving the story	正在保存限时动态
Saving video and subtitles to %1$s	正在将视频和字幕保存到 %1$s
Screen	屏幕
Screen time	使用时间管理
Search	搜索
Search and override gates	搜索并覆盖功能项
Search by name or gate key	按名称或功能项键搜索
Search by name, description or category.	按名称、说明或分类搜索.
Search countries or operators	搜索国家/地区或运营商
Search hidden creators	搜索已隐藏的创作者
Search settings	搜索设置
Search share actions	搜索分享操作
Search these comments	搜索这些评论
Search translated titles and descriptions, then open the original setting.	搜索中文标题和说明，并直接打开对应设置.
Search within comments	在评论中搜索
Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.	单位：秒。0 表示不限制。若本轮视频会被全部筛掉，则保留最接近时长上限的一条，避免信息流为空.
Seek by	快进/后退秒数
Seek from the edges	长按屏幕边缘快进/后退
Seen	已看
Seen this session	本次会话已看
Seen videos	已看视频
Seen videos cleared. You can undo until TikTok closes.	已看视频记录已清除。在 TikTok 关闭前可以撤销.
Seen videos put back	已看视频记录已恢复
Select	选择
Select at least one field.	请至少选择一个字段.
Select every tab	选择全部标签
Selected	已选择
Send links to another app	将链接发送到其他应用
Sending feedback	正在发送反馈
Series posts	系列内容
Settings	设置
Settings are back to their defaults. Restart TikTok to apply all changes.	设置已恢复为默认值。重启 TikTok 以应用全部更改.
Settings backup saved	设置备份已保存
Settings couldn't open	无法打开设置
Settings couldn't refresh completely. Reopen settings and try again.	设置未完全刷新。请重新打开设置后重试.
Settings restored. Restart TikTok to apply all changes.	设置已恢复。重启 TikTok 以应用全部更改.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	设置已恢复，但未恢复属于其他 TikTok 版本的功能实验室规则。重启 TikTok 以应用全部更改.
Share	分享
Share links through another host	通过其他域名分享链接
Share sheet	分享面板
Shares range	分享数范围
Shop	TikTok Shop
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.	隐藏收件箱中的 TikTok Shop 订单更新和优惠券消息，不影响订单本身.
Shop posts	TikTok Shop 内容
Show	显示
Show @username beside a video instead of the display name the creator chose.	在视频旁显示 @用户名，而不是创作者的显示名称.
Show TikTok's own progress bar on videos where it is normally hidden.	在原本隐藏进度条的视频中显示 TikTok 原生进度条.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.	在每个帖子中显示 TikTok 完整的原生排序选项，包括热门、最新、媒体和创作者，替代账号当前显示的精简排序栏。重启 TikTok 后生效；每次启动只读取一次样式并记住.
Show a video preview thumbnail while dragging the progress bar.	拖动进度条时显示视频预览缩略图.
Show failures on screen	在屏幕上显示失败信息
Show gates	显示功能项
Show last report	显示上次报告
Show only videos with this many comments.	仅显示评论数在此范围内的视频.
Show only videos with this many favorites.	仅显示收藏数在此范围内的视频.
Show only videos with this many likes.	仅显示点赞数在此范围内的视频.
Show only videos with this many shares.	仅显示分享数在此范围内的视频.
Show only videos with this many views.	仅显示播放量在此范围内的视频.
Show search in LIVE	在直播中显示搜索
Show the Not interested button	显示“不感兴趣”按钮
Show the block button on videos	在视频上显示拉黑按钮
Show the block sound button	显示屏蔽声音按钮
Show the country a video was posted from next to the creator's name.	在创作者名称旁显示视频发布国家/地区.
Show the current spoken caption while the other controls are hidden.	隐藏其他控件时仍显示当前语音字幕.
Show the handle instead of the name	显示用户名而不是名称
Show the hide button on videos	在视频上显示隐藏按钮
Show the progress bar	显示进度条
Show the progress bar thumbnail	显示进度条缩略图
Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.	在支持时，于 TikTok 直播面板中显示搜索入口；不会在视频评论中添加搜索框.
Show the switch	显示开关
Show the whole Activity and New followers lists instead of stopping at a View all button.	完整显示“活动”和“新粉丝”列表，不在“查看全部”处截断.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	完整显示视频，不再为窗口裁切。长屏手机通常无变化；折叠屏展开、较方屏幕或分屏时可避免边缘被裁掉.
Show what is left of the budget	显示今日剩余时间/视频数
Show when the camera or microphone is in use	显示摄像头或麦克风使用状态
Show where a video was posted	显示视频发布地区
Showing %1$s again	再次显示 %1$s
Silence the feed while comments are open	打开评论时将信息流静音
Skip content warnings	跳过内容警告
Skipping videos with %1$s	正在跳过带有 %1$s 的视频
Some Calm feed settings changed. Restore still puts back your earlier setup.	部分“清爽信息流”设置已改变；“恢复”仍会还原之前的配置.
Something is missing from %1$s. Tap for the whole report.	%1$s 中缺少部分内容。点按可查看完整报告.
Sound link copied	声音链接已复制
Sound saved to %1$s	声音已保存到 %1$s
Source	来源
Speed	速度
Speed menu choices	速度菜单选项
Speed while you hold the video	长按视频时的播放速度
Split comment minimum width	分栏评论最小宽度
Start each new video at your default. A manual choice lasts until the video changes.	每个新视频都以你的默认速度开始。手动选择的速度会持续到切换视频为止.
Start feature gate recording	开始记录功能项
Start recording	开始记录
Start the day at	每日上限重置时间
Start today over	重新开始今天
Start typing	开始输入关键词
Start with comments. Hide the comment count, sort and close buttons, plus the suggestion area above them. Use Back or swipe down to close comments.	打开评论时直接进入评论区，并隐藏评论数、排序、关闭按钮和上方建议区；按返回或下滑关闭评论.
Sticker	贴纸
Sticker destination	贴纸保存位置
Sticker saved to %1$s	贴纸已保存到 %1$s
Still here. Nothing is waiting.	暂时没有待处理内容.
Still reading the record. Tap again in a moment.	仍在读取记录。请稍后再次点按.
Still saving the last one	仍在保存上一个文件
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	阻止发送 ByteDance AppLog 事件、AppsFlyer 归因、Firebase 页面上报和崩溃报告，同时停用 TikTok 对应的诊断上报.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	阻止 TikTok 按视频帧率调整屏幕刷新率。在 90/120Hz 手机上可避免整个应用（包括滚动）被降到视频帧率.
Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.	阻止 TikTok 读取加速度计、陀螺仪、磁力计等运动传感器用于设备指纹识别，并减少相关耗电.
Stop TikTok reading what you copied. Copying a link from TikTok still works.	阻止 TikTok 读取你的剪贴板内容。从 TikTok 复制链接仍可正常使用.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	阻止 TikTok 上报你查看限时动态、个人资料或正在输入；在线状态不受影响，已上报到服务器的记录无法撤回.
Stop a long press on Like from opening TikTok's repost action.	阻止长按点赞按钮打开 TikTok 的转发操作.
Stop a long press on Share from opening TikTok's quick share action.	阻止长按分享按钮打开 TikTok 的快捷分享操作.
Stop analytics and tracking	停止分析与跟踪
Stop feature gate recording	停止记录功能项
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	阻止当评论内容匹配广告商触发条件时，在评论上方播放品牌动画.
Stop the bubble that asks you to share a video with friends after you like it.	阻止点赞后弹出提示你向好友分享视频的气泡.
Stop video looping	停止视频循环
Stop videos at the end instead of replaying them.	视频播放结束后停止，而不是重新播放.
Stopped after dismissing %1$s suggested accounts	移除 %1$s 个推荐账号后已停止
Stopped after dismissing one suggested account	移除 1 个推荐账号后已停止
Stopping after this file	将在当前文件完成后停止
Stories	限时动态
Story saved to %1$s	限时动态已保存到 %1$s
Structured value observed	已检测到结构化数据
Subtitle language	字幕语言
Subtitles	字幕
Swipe left	左滑
System	系统
Takes TikTok's own Auto scroll action out of the video panel. Auto-advance keeps working.	从视频面板中移除 TikTok 自带的“自动滚动”操作；自动连播仍可使用.
Tap %1$s again to send	再次点按 %1$s 以发送
Tap again to follow	再次点按以关注
Tap again to like	再次点按以点赞
Tap again to send	再次点按以发送
Tap the feed Follow button twice within %1$d seconds.	在 %1$d 秒内连续点按两次信息流中的“关注”按钮.
Tap the like heart twice within %1$d seconds. Removing a like stays immediate.	在 %1$d 秒内双击爱心点赞；取消点赞仍立即生效.
Tap to start the feed	点按开始播放信息流
Technical details	技术详情
Technical details, %1$s	技术详情，%1$s
That backup was written by a newer Hushfeed than this one. Nothing was altered.	该备份来自更高版本的 Hushfeed，未做任何更改.
That creator is already in the list	该创作者已在列表中
That creator pattern is too long to use, so it was skipped: %1$s	该创作者匹配规则过长，无法使用，已跳过：%1$s
That creator pattern is too long, so it was not added: %1$s	该创作者匹配规则过长，因此未添加：%1$s
That file is not a loaded-values export, or it is larger than the Lab accepts	该文件不是已加载值导出文件，或超过实验室大小限制
That file is not readable text, so it may have been damaged in transit. Nothing was altered.	文件不是可读文本，可能在传输中损坏；未做任何更改.
That file is too large to be a settings backup. Nothing was altered.	文件过大，不是有效的设置备份；未做任何更改.
That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes.	文件夹名包含 Android 不允许的字符。请只使用字母、数字、空格或连字符.
That is %1$d minutes today	今天已使用 %1$d 分钟
That is %1$d videos today	今天已观看 %1$d 个视频
That is not a Hushfeed settings backup. Nothing was altered.	这不是 Hushfeed 设置备份。未进行任何更改.
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	这不是有效的应用包名。可尝试 com.example.downloader 这样的格式，或留空以继续在 TikTok 中保存.
That is one minute today	今天已使用 1 分钟
That is one video today	今天已观看 1 个视频
That list has too many entries. Keep it to %1$s or fewer.	该列表条目过多。请保持在 %1$s 项以内.
That list is too large. Keep it to %1$s KB or less.	该列表过大。请保持在 %1$s KB 以内.
That preset is not recognized. Choose another.	无法识别该预设。请选择其他预设.
That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.	该设置备份中的信息流规则列表超过 Hushfeed 可接受的大小。未进行任何更改.
That settings backup holds a value Hushfeed cannot read. Nothing was altered.	该设置备份包含 Hushfeed 无法读取的值。未进行任何更改.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.	该设置备份包含的功能实验室规则超过允许数量。未进行任何更改.
That settings backup is damaged or only partly downloaded. Nothing was altered.	该设置备份已损坏或仅下载了一部分。未进行任何更改.
That settings backup is incomplete, so it may have been cut short. Nothing was altered.	该设置备份不完整，可能被截断。未进行任何更改.
That settings change did not go through. Nothing was altered.	该设置更改未能完成。未进行任何更改.
That sticker is in a format Hushfeed cannot read	该贴纸的格式 Hushfeed 无法读取
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.	隐藏收件箱中与你帖子点赞和评论有关的“活动”项目，但通知仍会正常到达.
The Archive row leaves the Inbox. Archived chats are kept.	“归档”项目将从收件箱中隐藏，已归档聊天仍会保留.
The Lab can't check this. TikTok gets it exactly as typed.	实验室无法检查此内容。TikTok 会按你输入的原样接收.
The Lab couldn't open. Go back and open it again.	无法打开实验室。请返回后重新进入.
The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed.	实验室最多保留 %1$s 条规则；本次更改会达到 %2$s 条，因此未应用.
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.	隐藏“消息请求”项目；新请求仍会到达并保留，关闭此项后可见.
The New followers row leaves the top of the Inbox. The accounts still follow you.	隐藏收件箱顶部的“新粉丝”项目；关注关系不受影响.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.	隐藏收件箱中的 Tako 助手会话。信息流 Tako 气泡需在“信息流标签”中单独设置.
The accounts TikTok suggests you follow no longer take up rows in the Inbox.	TikTok 推荐你关注的账号将不再占用收件箱项目.
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.	隐藏收件箱顶部的活动状态控件；不会改变别人是否能看到你的在线状态.
The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.	隐藏收件箱顶部的“添加联系人”图标。只移除这个快捷入口，其他位置的好友推荐不受影响.
The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.	功能清单显示此键类型为 %1$s，而当前覆盖值类型为 %2$s。请重置后重新创建覆盖值.
The diagnostic report couldn't be saved yet. Try again in a moment.	诊断报告暂时无法保存，请稍后重试.
The diagnostic report couldn't be saved. Try again.	无法保存诊断报告。请重试.
The downloader app you chose isn't installed. Check Send links to another app under Downloads.	你选择的外部下载应用尚未安装。请检查“下载 > 将链接发送到其他应用”的设置.
The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.	导出失败且无法删除未完成文件，请从 Downloads 文件夹手动删除.
The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at.	达到观看时长上限前 45 秒，信息流会逐渐变暗后进入暂停。需同时设置每日观看时长上限和“达到上限后暂停信息流”.
The feed does not end. This is a fine time to leave it.	信息流永远刷不完，现在退出正合适.
The feed is open again	信息流已恢复
The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away.	返回应用后，信息流会等你点一下再继续播放。消息、个人资料和搜索仍可直接打开.
The file hushfeed-safe-mode couldn't be removed. Delete it from TikTok's folder under Android/data to turn Hushfeed back on.	无法删除 hushfeed-safe-mode 文件。请到 Android/data 下的 TikTok 文件夹手动删除，以重新启用插件.
The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night.	设置两种每日使用上限的重置时间（24 小时制）。默认凌晨 4 点，避免跨过午夜后立即重置.
The live photo's clip couldn't be saved. Try again.	无法保存实况照片的视频片段。请重试.
The loaded-values file you chose couldn't be read. Try again.	无法读取所选的已加载值文件，请重试.
The original photos aren't available, so TikTok's own save runs instead	没有可用的原始图片，改用 TikTok 自带保存
The override changes no fields. Edit the field values, or reset the override.	覆盖值没有修改任何字段。请修改字段值或重置覆盖值.
The override couldn't be applied: %1$s. Edit the field values, or reset the override.	无法应用覆盖值：%1$s。请修改字段值或重置覆盖值.
The override doesn't say what list to return. Edit the field values, or reset the override.	覆盖值未指定要返回的列表。请修改字段值或重置覆盖值.
The profile picture couldn't be saved. Try again.	无法保存头像。请重试.
The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings.	无法读取未完成设置更改的记录，已另行保存；请检查设置.
The report couldn't be saved. Try again.	无法保存报告。请重试.
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.	隐藏收件箱顶部的限时动态头像栏；仍可从信息流和个人资料查看限时动态.
The setting couldn't finish updating. Its saved value is shown.	设置更新未完成，当前显示已保存值.
The settings backup was rejected. Nothing was altered.	设置备份被拒绝。未进行任何更改.
The smallest value is above the largest	最小值大于最大值
The sound couldn't be saved. Try again.	无法保存声音。请重试.
The sticker couldn't be saved. Try again.	无法保存贴纸。请重试.
The story couldn't be saved. Try again.	无法保存限时动态。请重试.
The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	评论的踩按钮改为拉黑评论者。评论会变暗并显示撤销提示，再点一次可解除拉黑.
The video couldn't be saved. Try again, or choose Automatic.	无法保存视频。请重试，或选择“自动”.
There is no Lab change to undo.	没有可撤销的实验室更改.
There is no diagnostic data to clear	没有可清除的诊断数据
There is no diagnostic data to put back	没有可恢复的诊断数据
There was nothing to put back	没有可恢复的内容
These loaded values are for a different TikTok version.	这些已加载值属于另一个 TikTok 版本.
This catalog entry is no longer available. Refresh the Lab and try again.	此功能项已不在清单中。请刷新实验室后重试.
This change couldn't be saved. Try again.	无法保存此更改。请重试.
This configuration has no fields that can be copied and changed safely on this build.	当前版本没有可安全复制并修改的字段.
This file has more loaded values than the Lab takes at once.	文件中的已加载值超过实验室单次上限.
This file has no loaded values in it.	此文件中没有已加载值.
This file isn't a loaded-values export from the Feature Gate Lab.	这不是功能实验室导出的已加载值文件.
This gate type is not supported.	不支持此功能项类型.
This is the video's own sound, so YouTube Music won't have it	这是视频自己的原声，因此 YouTube Music 中不会有对应曲目
This key isn't in the local catalog, so its type can't be checked. Reset the override.	此键不在本地功能清单中，无法检查类型。请重置覆盖值.
This key touches account safety. Forcing it can change login, region, payment or security checks.	此键涉及账号安全。强制修改可能影响登录、地区、支付或安全检查.
This line opens a rule and does not finish it: %1$s. Write two phrases as "a" & "b" for both, or "a" !& "b" for the first without the second.	规则未写完整：%1$s。两短语都需出现写 "a" & "b"；需要前者且排除后者写 "a" !& "b".
This phone has no file picker, so there is no way to choose a file here	此手机没有文件选择器，因此无法在这里选择文件
This phone has no folder picker. Type the folder into the row instead.	此手机没有文件夹选择器。请直接在此项中输入文件夹路径.
This profile picture isn't available to save	此头像不可保存
This quality isn't available as a complete file, so TikTok's own save runs instead	该画质没有可用的完整文件，因此改用 TikTok 自带的保存功能
This setting's value can't be copied on this build, so it can't be overridden. Reset the override.	当前版本无法复制此设置值，因此不能覆盖；请重置覆盖值.
This story isn't available to save	此限时动态不可保存
This value is required.	此项为必填.
This video has no link to copy	此视频没有可复制的链接
This video has no link to send, so TikTok's own save runs instead	此视频没有可发送的链接，因此改用 TikTok 自带的保存功能
This video has no original sound to save	此视频没有可保存的原声
This video has no sound of its own	此视频没有自己的声音
This video's sound has no title to look for	此视频的声音没有可供搜索的标题
Thumbs down blocks the commenter	点踩将拉黑评论者
TikTok closed three times within a minute of starting, so Hushfeed paused itself. Your settings stay as they are.	TikTok 启动后 1 分钟内连续关闭 3 次，插件已自动暂停；设置不变.
TikTok default	TikTok 默认
TikTok default (hold to speed up, quick share)	TikTok 默认（长按加速、快捷分享）
TikTok default (open the creator's profile)	TikTok 默认（打开创作者个人资料）
TikTok did not block %1$s. Try again in a moment.	TikTok 未能拉黑 %1$s。请稍后重试.
TikTok did not unblock %1$s. Try again in a moment.	TikTok 未能解除对 %1$s 的拉黑。请稍后重试.
TikTok didn't accept the feedback. Try again later.	TikTok 未接受反馈。请稍后再试.
TikTok hasn't handed this setting an object to change yet. Open the part of the app that uses it, then come back.	TikTok 尚未向此设置提供可修改对象。请先打开使用此设置的页面，再返回.
TikTok read it	TikTok 已读取
TikTok read it, but the override couldn't be applied. Reset it and save it again.	TikTok 已读取该值，但覆盖未生效。请重置后重新保存.
